Title,Authors,Description,Category,Publish Date (Year)
Discover Science Almanac (Stonesong Press Books),"By Bunch, Bryan (EDT) and Tesar, Jenny E. (EDT)","A compact and informative guide to major scientific advances, awards, and discoveries in a wide range of scientific disciplines provides shor tentries and feature articles on such topics as astronomy and cosmology, oceanography, medicine and human body, atmospheric sciences, archaeology and linguistics, geology, and the environment, among others. Original. 50,000 first printing."," Reference , Almanacs",2003
Felix in the Underworld,"By Mortimer, John Clifford","Felix Morsom has made a decent living as an author. Though his novels no longer hit the bestseller lists, he has been described as the Chekhov of Coldsands-on-Sea, and once was even shortlisted for the Booker Prize. Were it not for the delicious Brenda Bodkin, his publicist, and their endlessly unconsummated passion, his life would be very dull indeed.One day, Felix receives a tape in the mail which reveals the sad tale of Gavin, a man whose life was destroyed by PROD, the Parental Rights and Obligations Department. Shortly thereafter, Felix again hears Gavin, now on a radio phone-in, and a few days later meets him at a book-signing. Gavin introduces the author to Miriam, who assures Felix that he is the father of her child, Ian. Before Felix knows it, he is in receipt of a huge bill for Ian's maintenance and, as if that weren't shocking enough, he soon finds himself the chief suspect in a murder case.To discover the identity of the murderer, our hero has no choice but to enter the underworld and live among the down-and-outs of London. There among the rubbish and the smell of poverty he finds friendship and unexpected grace."," Fiction , Mystery & Detective , Traditional",1997
Churchill on Leadership: Executive Success in the Face of Adversity,"By Hayward, Steven F.","Success often depends on the strength of a single quality: leadership. Winston Churchill is universally recognized as one of the 20th century's great political leaders and his words ring just as true in the world of commerce. A wise, witty, and inspiring leader, Churchill ran Great Britain like a great corporation.""Perhaps the finest book on practical leadership ever written."" — Brian TracyChurchill on Leadership demonstrates that the principles that guided Churchill ably translate to private industry today. Author Steven F. Hayward gives strong evidence that, if you remove Churchill from his political context, he would have the resume to be among the great business leaders of any age. Churchill: • was a financier (as chancellor of the Exechequer) and labor negotiator (as home secretary)• managed a large transportation network (as head of the British Navy) and far-flung property holdings (as colonial secretary)• persevered through bankruptcies and other financial disasters• conceived and introduced innovative new products over the opposition of his colleagues, and reorganized major production operations in the midst of crisis.With wit and insight, Hayward reveals Churchill's secrets for business success from assembling and inspiring a first-rate team to preparing a wise budget, from communicating a vision to structuring effective meetings, from acting decisively to rebounding from a failure. Laced with epochal events from the historical stage, enlivened with stimulating speculation, and leavened with wit,Churchill on Leadership is both an enjoyable read and a thought-provoking lesson on leadership.From the Trade Paperback edition."," History , Europe , Great Britain",1997
The Burn Journals,"By Runyon, Brent","Fans of Thirteen Reasons Why, Running with Scissors and  Girl, Interrupted will be entranced by this remarkable true story of teenage despair and recoveryIn 1991, fourteen-year-old Brent Runyon came home from school, doused his  bathrobe in gasoline, put it on, and lit a match.He suffered third-degree burns  over 85% of his body and spent the next year recovering in hospitals and rehab facilities.  During that year of physical recovery, Runyon began to question what he'd done, undertaking  the complicated journey from near-death back to high school, and from suicide back  to the emotional mainstream of life."," Psychology , Suicide",2005
The Ocean Alphabet Book (Jerry Pallotta's Alphabet Books),"By Pallotta, Jerry and Mazzola, Frank, Jr. (ILT)","Learn your ABCs in this aquatic exploration of everything under the sea. Best-selling author Jerry Pallotta delivers a fun first concepts book that covers sea creatures from A to Z. From speckled cod to jellyfish to the shiny shells of scallops, readers will be introduced to over twenty-six species that live in the North Atlantic Ocean. Jerry Pallotta’s signature witty while scientifically accurate text paired with fun and detailed illustrations by Frank Mazzola Jr. make this a fun read aloud that kids and parents will be eager to dive into."," Juvenile Nonfiction , Science & Nature , Earth Sciences , Water (Oceans, Lakes, etc.)",1989
How to Study (Ron Fry's how to study program),"By Fry, Ronald W.","Includes hints, advice, and techniques for organizing one's time, taking notes, reading, using the library, using a computer, writing papers, and preparing for tests"," Education , Study Skills",1996
Detective Dinosaur Lost and Found (I Can Read Level 2),"By Alley, R. W. (ILT) and Skofield, James","""Help!  Baby Penny is lost!""This sounds like a job for Detective Dinosaur and Officer Pterodactyl!  The prehistoric police pair from Detective Dinosaur is back on the beat with new cases to crack.  But what will happen when Dective Dinosaur loses his way in the dark?  Will he be found at a loss?Comically clueless Detective Dinosaur and his loyal sidekick, Officer Pterodactyl, are back with three new cases to crack! Together they search for a lost baby and find a home for a stray kitten. But when Detective Dinosaur loses his way in a dark park, will he himself be found at a loss? R. W. Alley’s inspired illustrations, full of humor and appealing details, bring James Skofield’s prehistoric keystone cops to life."," Juvenile Nonfiction , Sports & Recreation , General",1999
Rodale's Illustrated Encyclopedia of Gardening and Landscaping Techniques,"By Ellis, Barbara W. (EDT)","Designed for beginner and expert alike, a unique, comprehensive, lavishly illustrated manual outlines all of the fundamentals of gardening and landscaping--without the use of chemicals--plus tips on tools, recipes, projects, and much more."," Gardening , Landscape",1995
"Priceless Weddings for Under $5,000","By Kennedy, Kathleen","A priceless wedding is one that emphasizes the unique personalities of the couple getting married.Priceless Weddings for Under $5,000 proves that you can celebrate the spirit of love, hope, joy, and community -- without spending a fortune.Caterer and event planner Kathleen Kennedy offers insights on how to personalize a wedding inexpensively. She shares her savvy, insider techniques and tips to help couples save money on the many high-ticket items on their to-do list, showing where to cut corners and where to go all out. Included are:* A questionnaire to help the bride and groom decide on their top priorities Tips on how to find and book a great low-cost wedding site Guidelines on how to determine a budget, and stick to it* Negotiation tactics for dealing with caterers, florists, musicians, and photographers.Priceless Weddings for Under $5,000 covers every single aspect of your special day, including strategies for finding the perfect dress, great ideas for what to serve for the reception, sample wedding vows and readings, innovative decorations and invitations, and ways to incorporate children into the ceremony for second marriages. Throughout the book, inspiring stories of real-life priceless weddings, with complete budget breakdowns, show how resourceful couples around the country created their own unique celebrations.Priceless Weddings for Under $5,000 is the ultimate guide for couples who want their special day to live on in memory, not through bills."," Reference , Weddings",2000
"They Don't Play Hockey in Heaven: A Dream, A Team, and My Comeback Season","By Baker, Ken","""A riveting and often hilarious account."" -The Hockey News""Inspirational . . . colorful descriptions make this a fun read."" -Los Angeles Times ""One of the best sports books of the year."" -Booklist Ken Baker wanted nothing more than to play ice hockey with the pros-until a brain tumor cut his dreams short while in college. After surgery and several years of rehab, Baker, who in high school was a top prospect for the U.S. Olympic team, put his successful journalism career on hold to attempt the seemingly impossible: a comeback. He moved away from his family to become the third-string goalie for the Bakersfield Condors, an AA-level minor-league team in the dusty oil town of Bakersfield, California. At the age of thirty-one, Baker became the oldest rookie in all of pro-hockey, facing 100-m.p.h. slap shots and long bus rides, hostile fans and cheap motel rooms, body bruises, and battle-worn teammates. From his visit to an NHL training camp to his first nerve-rattled minutes as a pro, Baker joins the rookies who still dream of making it to the Show, the veterans long past their prime, and the obsessive fans who keep them going. When the season is over, Baker's pro-hockey adventure ends up teaching him nearly everything he will ever need to know about life."," Sports & Recreation , Hockey",2003
Every Child Can Succeed: Making the Most of Your Child's Learning Style,"By Tobias, Cynthia Ulrich",This enlightening source shows parents how to utilize a “learning styles” approach to help their kids live up to their potential and find success in life.," Family & Relationships , Education",1996
The Puzzles of Amish Life (People's Place Book No. 10),"By Kraybill, Donald B.","Revised edition! People's Place Book #10. A sociologist provides a way to understand the Amish people's intentional way of living in a world far different from their own. Fun to read. How do the Amish thrive in the midst of modern life? Why do the Amish separate themselves from the modern world? Why do a religious people spurn religious symbols and church buildings? Why is humility a cherished value? Why do a gentle people shun disobedient members? How do the Amish regulate social change? Why is ownership of cars objectionable, but not their use? Why are some modes of transportation acceptable and other forbidden? Why are tractors permitted around barns but not in fields? Why are horses used to pull modern farm machinery? Why are telephones banned from Amish homes? Why are some forms of electricity acceptable while others are rejected? How is modern machinery operated without electricity? Why are some occupations acceptable and others taboo? Why do the Amish use the services of professionals -- lawyers, doctors, and dentists -- but oppose higher education? Why do Amish youth rebel in their teenage years? Are the Amish freeloading on American life? Are the Amish behind or ahead of the modern world?"," Social Science , Ethnic Studies , General",1998
Japanese Art (World of Art),"By Stanley-Baker, Joan","Traces the history of Japanese painting, calligraphy, architecture, sculpture, and other arts from the prehistoric period to modern times"," Art , Popular Culture",1984
The Men's Health Home Workout Bible,"By Schuler, Lou (EDT) and Mejia, Michael (EDT)","Get bigger biceps, broad shoulders, a bigger bench press, powerful legs, cut abs . . . without ever leaving your home! The body you want, in the space you have. The strength you want, with the equipment you have. The muscles you want, in the time you have. You don't need to join a gym to get in shape. In fact, for a lot of guys, the gym is an impediment to getting in shape. The crowds, the inconvenience, the intimidation, the time, the commute-- by the time you add it all up, you could end up investing 2 hours to get 45 minutes of exercise. No matter how little space you have, no matter how little equipment you have, no matter how little time you have, you can get the results you want without stepping inside a gym. The Men's Health Home Workout Bible by Lou Schuler and Michael Mejia, M.S., C.S.C.S. gives you...* Four full-body muscle plans:The Body Weight PlanThe Dumbbell PlanThe Barbell PlanThe Multistation-Machine Plan* Custom training plans for strength, fat loss, aerobic fitness, and sports performance* Buying advice for weights, benches, machines, cardio equipment, and exercise videos* Complete guidelines for turning your home into a state-of-the-art fitness centerWith beginner, intermediate, and advanced full-body workouts for each type of equipment, The Men's Health Home Workout Bible gives you more than 400 exercises altogether, photographed and fully described. From pushups to power cleans, from crunches to jump squats, we show you how to get more muscle and strength at home, whether you're a complete beginner or a competitive athlete.The Men's Health Home Workout Bible is a personal trainer, on call 24 hours a day, 7 days a week."," Sports & Recreation , Bodybuilding & Weight Training",2002
Picnic: 125 Recipes with 29 Seasonal Menus,"By Stovel, Deedee","Create delicious and portable feasts for any occasion. Whether you’re headed to a neighborhood park, an elegant music festival, or the top of a mountain, DeeDee Stovel shows you how to create a tasty outdoor dining experience. With 125 recipes that include dishes like cucumber soup, lobster rolls, fried chicken, and apple cake, you’ll be amazed at the variety of foods that are well-suited for outdoor eating. Call up your friends, grab a blanket, and fill up your picnic basket!"," Cooking , Seasonal",2001
Bird Girl and the Man Who Followed the Sun,"By Wallis, Velma","With the publication of Two Old Women, Velma Wallis firmly established herself as one of the most important voices in Native American writing. A national bestseller, her empowering fable won the Western State Book Award in 1993 and the Pacific Northwest Booksellers Association Book Award in 1994. Translated into 16 languages, it went on to international success, quickly reaching bestseller status in Germany. To date, more than 350,000 copies have been sold worldwide.   Bird Girl and the Man Who Followed the Sun follows in this bestselling tradition. Rooted in the ancient legends of Alaska's Athabaskan Indians, it tells the stories of two adventurers who decide to leave the safety of their respective tribes. Bird Girl is a headstrong young woman who learned early on the skills of a hunter. When told that she must end her forays and take up the traditional role of wife and mother, she defies her family's expectations and confidently takes off to brave life on her own. Daagoo is a dreamer, curious about the world beyond. Longing to know what happens to the sun in winter, he sets out on a quest to find the legendary ""Land of the Sun."" Their stories interweave and intersect as they each face the many dangers and challenges of life alone in the wilderness. In the end, both learn that the search for individualism often comes at a high price, but that it is a price well worth paying, for through this quest comes the beginning of true wisdom."," Social Science , Folklore & Mythology",1997
Complete Idiot's Guide to Starting a Home-Based Business (The Complete Idiot's Guide),"By Weltman, Barbara","You're no idiot, of course.  You have ideas, skills, and talents that have brought you success for years.  (You even figured out how to program your VCR.)  But turning your ideas and talents into your own business can make you feel like an idiot.  Taxes, zonning laws, insurance, marketing:  how do you juggle all of these and still succeed at what you do for a living?  But there's hope!  This book gives you the lowdown on all those things you need to get going:  financing for your business, setting up your system, and selling your product or service. In this Complete Idiot's Guide you get:"," Business & Economics , Entrepreneurship",1997
Authors at Sea: Modern American Writers Remember Their Naval Service,"By Shenk, Robert (EDT)","Seven Pulitzer Prize winners are among the authors featured in this collection of works by eminent American writers who shared a common experience: service in the U.S. Navy or Coast Guard during World War II. Best-selling novelists, historians, science writers, and journalists, most of these authors are well known--Herman Wouk, James Michener, Alex Haley, Russell Baker, Edward L. Beach, Carl Rowan, Lewis Thomas, Ben Bradlee, Sloan Wilson, C. Vann Woodward, Louis Auchincloss, and Samuel Eliot Morison, to name a few. But readers may not be aware of their wartime service at sea.The selected authors write about duty on all kinds of ships--from carriers to submarines and LSTs--and service in all theaters and at all periods of the war, from beginning to end. They recount a variety of experiences: flight training, submarine attacks, kamikaze hits, surface engagements, amphibious landings, storms, homesickness, nights on the town, leadership challenges, personality conflicts. Most wrote after years of reflection and decades spent polishing their writing skills.Filled with humor, hope, sadness, and occasionally wonder, these autobiographical accounts of war at sea are unparalleled in the quality of the writing and the collective scope of the vision."," History , Military , World War II",1996
Shrimp,"By Cohn, Rachel","Sassy Cyd Charisse returns in Shrimp, the “compelling…and light-hearted” (Publishers Weekly, starred review) sequel to the sharp and funny novel Gingerbread.If Cyd Charisse knows one thing, it’s that Shrimp is her true love. Shrimp, the hottest pint-size surfer-artist in San Francisco. That boy (as her mother called him), who was the primary cause of Cyd being grounded to Alcatraz, formerly known as her room. The boy who dumped Cyd before she left home to spend the summer in New York City. Now it’s the start of senior year. Cyd has changed, but maybe Shrimp has changed too—and maybe Cyd and Shrimp will need to get to know each other all over again to figure out if it’s for real. Can Cyd get back together with Shrimp and keep the peace with her mom? And can she get a life outside of her all-encompassing boy radar? This sequel to Gingerbread has all the sharp humor and searing attitude of the original, which ELLEgirl praised as “not just Another Teen Novel” and Teen People called “unforgettable.” In Shrimp, Cyd might be a little older and a little wiser, but she’s still the same irrepressible free spirit determined to find her own way in the world, on her own terms."," Young Adult Fiction , Family , Blended Families",2006
Russia's Revolution: Essays 1989-2006,"By Aron, Leon","It is more the de-revolution that Aron (Russian studies, American Enterprise Institute) discusses in 21 essays describing events and trends in the Soviet Union then Russia for 15 yeas from what he characterizes as the cleansing firestorm of glasnost to Vladimir Putin's increasingly risky post-2003 restoration. He wrote the essays during the periods they recount, and so provide a diary of his impressions. Annotation ©2007 Book News, Inc., Portland, OR (booknews.com)"," History , Europe , Russia & the Former Soviet Union",2007
The King of Torts,"By Grisham, John","The office of the public defender is not known as a training ground for bright young litigators.  Clay Carter has been there too long and, like most of his colleagues, dreams of a better job in a real firm.  When he reluctantly takes the case of a young man charged with a random street killing, he assumes it is just another of the many senseless murders that hit D.C. every week.As he digs into the background of his client, Clay stumbles on a conspiracy too horrible to believe.  He suddenly finds himself in the middle of a complex case against one of the largest pharmaceutical companies in the world, looking at the kind of enormous settlement that would totally change his life—that would make him, almost overnight, the legal profession’s newest king of torts..."," Fiction , Legal",2003
Fishing for Dummies,"By Kaminsky, Peter","No one can promise that you will catch fish all the time. Fish, after all, would just as soon never taste a hook or feel the sizzle of a frying pan. For as long as we have been catching fish, fish have also been outsmarting us. ""That's why they call it fishing and not catching,"" goes the old saying. This book will help you fish, and it will help you catch, too. No matter how much you know, there are still a couple of tricks that even the oldest angler can pick up.For those of you who have never fished, you will find enough in this book to get you started. You don't have to learn everything all at once. If you are already an angler, there are plenty of tips and techniques that you can turn to right away without going through the basics all over again. And you master anglers will also find this book a handy reference for all kinds of fishing questions.Once you have a few basic pointers, fishing is as easy as falling off a log (which is something you want to avoid, as the splash will scare the fish). Fishing For Dummies will show you how to orchestrate all of your equipment into a fine-tuned fish-catching machine. You'll soon know all aboutYour fishing equipment, from the rod in your hand to the hook on the very end of the lineThe fish that people fish for, what they look like, and where they're foundThe basics of bait-casting, spinning, and fly-castingFighting, landing, and releasing fishStoring, cleaning, and cooking fishFishing is a great joy and a lifetime sport. You will find that there are successful fishing days and unsuccessful fishing days, but there is no such thing as a bad fishing day. This book can make fishing easier and more rewarding for you every time you pick up your rod and reel."," Sports & Recreation , Fishing",1997
"Wireless Home Networking For Dummies, 2nd Edition","By Hurley, Patrick J., Briere, Daniel D., and Ferris, Edward","Get hooked up without getting tangled up in cords, wires, cables or techno mumbo. With Wireless Home Networking For Dummies, you can go wireless without going mad.  It shows you how to plan, install, secure, and use a wireless home network for PCs or Macs. See how easy it is to share your Internet connection, files, folders, printers, and other peripherals. Put your gaming console on your wireless network and play multiuser computer games—­even online. With lots of helpful diagrams, screen shots, and step-by-step instructions, this guide:Gives you the info you need to make wise wireless buying and connecting decisionsCovers the latest security issues and hardware as well as today's wireless standards, including Wi-Fi/802.11 (a, b, g, e, and i), Bluetooth, UWB (Universal Wide Band), WiMAX, and ZigBeeTells you how to use an inexpensive networking kit to connect your gaming console to a broadband Internet connection and speed up your commands; that’s often a matter of virtual life and deathDiscusses alternatives to wireless networking, including Bluetooth, HPNA, and Home PlugLearn how to network your entertainment center for all kinds of options. Whether you have a $300 TV set or a $25,000 home theater system, you can wireless enable almost any type of A/V equipment. Then you can use your PC to store audio and video tracks for playback on your TV and through your stereo, stream movies from the Internet and play them on your big screen, load pictures from your digital camera on your PC and view them on the TV, and more. This book will show you how to make your home entertainment system much more entertaining, with:Info on plugging into wireless with wireless A/V adaptersThe latest on wireless media servers like the Sonos Music SystemThe scoop on the ultimate home theater PC (HTPC) that plays CDs and DVDs, acts as a PVR (personal video recorder); lets you play video games on the big screen, and moreTips for buying wireless bridges, along with some specific products and their Web sitesFind out about how to go wireless wherever you go, with info on public wireless hot spots and types of free and for-pay networks. Delve into the whole-home wireless revolution and see how you can add smart home devices to your network, connect to your car or your home security video monitors, use your cell phone as a remote control, and more. Wireless Home Networking For Dummies even gives you a look into the not-so-distant future and the wireless wonders in the works!"," Computers , Networking , General",2006
The Taming of the Chew: A Holistic Guide to Stopping Compulsive Eating,"By Lamothe, Denise C.","Psychologist and doctor of holistic health Denise Lamothe presents a complete program to combat overeating, showing compulsive eaters how to take control of their dependence on and obsession with food. Lamothe targets the enemy as ""the Chew,"" which she describes as the ""hurtful, persistent, out-of-control part of each of us."" The Chew is what keeps overeaters from sticking to a dietary plan and can compel them to go on eating binges. Lamothe shows how to tame the Chew by explaining the problem from psychological, social, spiritual, and biological perspectives; presenting her comprehensive plan for holistic healing and change; and showing how to avoid relapses by building self-esteem."," Self-help , Eating Disorders & Body Image",2002
The Motley Fool's Investing Without a Silver Spoon: How Anyone Can Build Wealth Through Direct Investing,"By Fischer, Jeff",Shows how to avoid brokerage fees by buying stock directly from companies," Business & Economics , Personal Finance , Taxation",1999
60 Ways to Relieve Stress in 60 Seconds,"By Rubin, Manning and Frahm, Paul (ILT)","First came the Bronze Age, then the Age of Reason, and now, the Age of Stress-an era of frayed nerves, jangled moods, and panic attacks. Cheaper than two weeks in Maui, Saner than primal screaming, and more practical than a dry martini, 60 Ways to Relieve Stress in 60 Seconds delivers exactly what it promises-60 short, proven techniques to reduce stress in a minute or less. Developed by Manning Rubin and whimsically illustrated by Paul Frahm-both executives in advertising, the industry that virtually invented stress-here are mind games, quick physical challenges, and imaging and concentration exercises that instantly refocus a person's energy. There's even a stress tester on the cover for before-and-after verification. So the next time the patch shows red, try #18: Drink a glass of water by using exactly 30 sips. Or when your presentation is overdue and the numbers refuse to add up, try #45: Pretend you're a newscaster covering a story, any story. Describe it as a TV newsperson would. It really works. 128,000 copies in print."," Self-help , Self-Management , Stress Management",1993
A Smart Girl's Guide to Manners,"By Holyoke, Nancy",An introduction to socially acceptable conduct in all sorts of situations.," Juvenile Nonfiction , Girls & Women",2005
Blue Genes: A Memoir of Loss and Survival,"By Lukas, Christopher","Tony and I are brothers across the stroboscopic echoes of the past: dissolving across black interludes into the next image, and the next, and the next, until all vestige of pure vision is destroyed. All that is left is memory, and we know how faulty that can be. Who Tony was is forever blurred by who I was and how I remember who I thought Tony was . . . He is dead, and I am alive—left to dwell on questions, and to seek the answers . . .Would I, too, end up killing myself? Was the legacy of self-destruction I would discover in my family too great for me to survive? If so, when would the pendulum swing? And, if it never did, why not? How could I—almost alone among my family—escape? —From Blue GenesThis courageous, engrossing memoir explores the complex and shattering effects of a family legacy of depression and suicide on the author and his brother, the award-winning journalist, J. Anthony Lukas. Christopher (Kit) Lukas’s mother committed suicide when he was a boy. He and his brother, Tony, were not told how she died. No one spoke of the family’s history of depression and bipolar disorder. The legacy of guilt and grief haunted Kit and Tony throughout their lives.Both brothers achieved remarkable success, Tony as a gifted journalist, Kit as an accomplished television producer and director. After suffering bouts of depression, Kit was able to confront his family’s troubled past, drawing on his experience to write Silent Grief, an invaluable guide to surviving a loved one’s suicide. Tony forged a sterling career, eventually winning two Pulitzer Prizes, including one for the now-classic book Common Ground. But he never seemed to find the contentment Kit had attained; he remained creative, but depressed. In 1997, shortly before the publication of his acclaimed book, Big Trouble, Tony Lukas committed suicide.Blue Genes portrays the lives of two brothers who alternately locked horns and found solace in each other. Written with heartrending candor, it captures the devastation of this family legacy of depression, but it is also surprisingly uplifting, as it details the strength and hope that can provide a way of escaping its grasp."," Psychology , Psychopathology , Depression",2008
The Einstein Scrapbook,"By Rosenkranz, Ze'Ev","Einstein is the personification of supreme intellect, his name synonymous with genius. His scientific theories revolutionized the way we look at reality itself. His legacy of pacificism, Zionism, and social justice continues to inspire millions of people around the world. The Einstein Scrapbook offers a unique glimpse into the life and work of this remarkable man which will delight those for whom he is a hero and those familiar with him only as an icon. Featuring illuminating documents and photographs from his personal papers -- many published here for the first time -- it provides a kaleidoscope through which to see the great scientist and humanist anew.The book opens with an engaging and concise biography that explores Einstein's family history and education, his career as a scientist and educator, his complex marital relations, and his role as a father. In subsequent sections, The Einstein Scrapbook presents an overview of Einstein's scientific theories, from his breakthrough articles on the special theory of relativity, quantum theory, and Brownian motion published in 1905 -- his annus mirabilis -- through his revolutionary general theory of relativity in 1916 and his final quest for a unified field theory. The book also shows Einstein's role in the international peace movement and his views on social and economic justice, as well as his Jewish identity and his relationship to the Jewish people and the State of Israel, which culminated in his being offered the presidency of Israel in 1952. On the lighter side, this book chronicles Einstein's passion for music and sailing, his charming correspondence with children from around the world, and some of the curious letters he received from fans during his later years, and it concludes with a look at Einstein's mythic status. Drawn from the collection of the Hebrew University's Albert Einstein Archives, The Einstein Scrapbook perfectly reflects Einstein's brilliance, humor, generosity, and nobility.From The Einstein Scrapbook: ""Dear Elsa,... If you were to recite the most beautiful poem ever so divinely, the joy I would derive from it would not come close to the joy I experienced when I received the mushrooms and goose cracklings you cooked.""""Dear Mother, Good news today. H. A. Lorentz has telegraphed me that the British expeditions have definitely confirmed the deflection of light by the sun. Unfortunately, Maja has written me that you're not only in a lot of pain but that you also have gloomy thoughts. How I would like to keep you company again so that you're not left to ugly brooding... Affectionately yours, Albert""""Concern for man himself and his fate must always form the chief interest for all technical endeavors, concern for the great unsolved problems of the organization of labor and the distribution of goods -- in order that the creations of our mind shall be a blessing and not a curse for mankind. Never forget this in the midst of your diagrams and equations.""""I am deeply moved by the offer from our State of Israel [to serve as President], and at once saddened and ashamed that I cannot accept it. All my life I have dealt with objective matters, hence I lack both the natural aptitude and the experience to deal properly with people and to exercise official functions. For these reasons alone I should be unsuited to fulfill the duties of that high office, even if advancing age was not making increasing inroads on my strength. I am the more distressed over these circumstances because my relationship to the Jewish people has become my strongest human bond, ever since I became fully aware of our precarious situation among the nations of the world.""""Dear Posterity, If you have not become more just, more peaceful, and generally more rational than we are (or were) -- why then, the Devil take you. Having, with all respect, given utterance to this pious wish, I am (or was) Yours, Albert Einstein"""," Biography & Autobiography , Science & Technology",2002
The Murderers (Badge of Honor),"By Griffin, W. E. B.","The Murderers sweeps Badge of Honor into hardcover with the explosive story of three murders, three ""willful deaths."" A policeman is found shot dead in his home - is it connected to corruption in the Narcotics division? A bar owner's wife and partner are gunned down together - was it a mob hit, and if so, why? A beautiful, well-connected young woman dies of a drug overdose in her parents' mansion - was it accidental? It's up to Special Operations Division detectives Jason Washington, Matt Payne, and their colleagues to put together the pieces, and to do it quickly. Pressure's coming from above, and what seemed simple at first has suddenly become very, very complicated."," Fiction , War & Military",1995
The Future of Freedom: Illiberal Democracy at Home and Abroad,"By Zakaria, Fareed","Examines the influence of democracy on politics, business and economics, law, culture, and religion in different regions of the world; explores the dark side of the democratic process and its sometimes negative impact; and reflects on the future of world democracy. Reprint. 50,000 first printing."," Political Science , Political Ideologies , Democracy",2004
Under a War-Torn Sky,"By Elliott, Laura","When Henry Forester is shot down during a bombing run over France,the World War II pilot finds himself trapped behind enemy lines. In constant danger of discovery by German soldiers, Henry begins a remarkable journey to freedom. Relying on the kindness of strangers, Henry moves from town to town--traveling by moonlight, never asking questions, or even the names of the people who help him along the way. Each day brings him closer to home, yet every step in enemy territory invites new dangers.Even as Henry fights for his own life, he quickly grows to realize the peril that surrounds all of the French people, and to admire the courage of the freedom fighters who risk death to protect him. Suspenseful and achingly true, this critically-acclaimed and deeply beloved novel explores the heartbreak of war, the strength of human spirit, and one young man's struggle to protect the things he loves"," Young Adult Fiction , Historical , Military & Wars",2003
Cabins and Cottages,By Time-Life Books (EDT),"Covers every step in the creation of a vacation home, presenting illustrated instructions for building a contemporary version of a pioneer's rugged log cabin, putting up a modern A-frame structure complete with a deck and a sleeping loft, and assembling a prefabricated cottage"," Technology & Engineering , General",1979
New Provencal Cuisine,"By Jones, Louisa and Harris, Alison (PHT)","Using fresh, seasonal ingredients, fifteen of Provence's top chefs offer sixty of their most innovative recipes, all designed for the home cook, with simple, easy-to-follow instructions and a wealth of full-color photographs. IP."," Cooking , Regional & Ethnic , French",1995
The Heart of Marriage: Discovering the Secrets of Enduring Love,"By Rountree, Cathleen","Why marriage? What is the heartfelt, deep urge to connect that draws couples together? And what is the magical connection that sustains some marriages in an era when so many couples have decided to go their separate ways? Acclaimed author Cathleen Rountree sets out to capture the elusive promise and eternal love in this uplifting collection of intimate conversations with couples who have made it work, creating lifetime partnerships that are both passionate and practical, exciting and deeply committed.Skillfully weaving her own poignant and humorous narrative through the revealing, personal stories of these men and womencouples of many ages and cultures, famous lovers and the couples-next-door - Rountree leads us on a fascinating journey into modern love to discover the promise, sum, and substance of today's happy marriages. Money, sex, work, time, and children: Rountree explores, through insightful and wise observations of her own life and the couples' experiences, the issues that can make and break marriages. And in their own lively, moving, funny, and wise words, these contented couples speak of marriage as a spiritual path and reveal that lifelong love is both a teacher and a healing force in the lives of everyone it touches."," Family & Relationships , Marriage",1996
Warriors Don't Cry: A Searing Memoir of the Battle to Integrate Little Rock's Central High,"By Beals, Melba Pattillo","In this compelling autobiographical account by one of the Civil Rights Movement’s most powerful figures, Beals explores not only the power of racism, but also the ideas of justice and identity.In 1957, well before Martin Luther King’s “I Have a Dream” speech, Melba Pattillo Beals and eight other teenagers became iconic symbols for the Civil Rights Movement and the dismantling of Jim Crow in the American South as they integrated Little Rock’s Central High School in the wake of the landmark 1954 Supreme Court ruling, Brown v. Board of Education. Throughout her harrowing ordeal, Melba was taunted by her schoolmates and their parents, threatened by a lynch mob’s rope, attacked with lighted sticks of dynamite, and injured by acid sprayed in her eyes. But through it all, she acted with dignity and courage, and refused to back down. Warriors Don’t Cry is, at times, a difficult but necessary reminder of the valuable lessons we can learn from our nation’s past. It is a story of courage and the bravery of a handful of young, black students who used their voices to influence change during a turbulent time."," Young Adult Nonfiction , People & Places , United States , General",2007
West With The Night,"By Markham, Beryl","Describes growing up in an Africa that no longer exists, training and breeding race horses, flying mail to Sudan, and being the first woman to fly the Atlantic, east to west"," Technology & Engineering , Aeronautics & Astronautics",1983
The Encyclopedia of Beer,"By Rhodes, Christine P. (EDT) and Lappies, Pamela B. (EDT)","Provides an alphabetical guide to the history of beer, breweries around the world and their products, beer styles, brewing terminology, ingredients, flavorings, beer traditions and festivals, and brewing techniques"," Cooking , Beverages , Alcoholic , Beer",1997
Noodles Essential Kitchen Series,"By Liley, Vicki","Noodles is a contemporary collection of the most delicious Asian noodle recipes featuring a wide variety of recipes for Soups & Broths; Rolls & Parcels; Salads; Crispy Noodles; Duck & Chicken; Seafood; Beef; Pork; Vegetables, and it includes a guide to noodle types and cooking techniques.The photographs can't fail to inspire you and the recipes make cooking as easy as can be."," Cooking , Regional & Ethnic , Australian & Oceanian",1999
